startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
9,0,False,False,15,94,1650257400,1650306480,24420,1,2836,175,602.79,677.2
4,10,False,False,56,103,1650228840,1650252300,17940,0,1652,281,157.21,192.6
15,5,False,True,23,164,1650199200,1650215400,16200,0,2083,88,506.05,558.6
9,6,False,False,7,43,1650200700,1650227580,23520,0,2666,154,313.49,359.1
5,0,False,False,30,111,1650198300,1650216780,9960,0,675,237,546.98,611.6
4,13,False,False,7,230,1650205980,1650223080,10620,0,800,332,213.95,253.6
14,0,False,False,7,167,1650207000,1650227700,16560,0,1272,330,174.88,211.6
4,7,False,False,30,155,1650231000,1650251880,17580,0,1772,16,590.7,658.6
9,7,False,True,10,164,1650209400,1650227100,17700,0,2295,107,552.56,608.6
10,2,False,False,7,206,1650198540,1650219900,10200,0,552,51,174.88,211.6
14,9,False,False,7,68,1650191940,1650228180,25680,0,2536,118,399.07,452.6
1,7,False,False,56,167,1650234000,1650255300,17460,1,1456,348,649.3,721.6
15,5,False,False,7,68,1650222000,1650255300,22560,1,2463,275,322.79,370.6
1,9,False,False,11,227,1650236100,1650292200,30180,1,3037,175,462.32,526.19
14,4,False,False,30,72,1650189600,1650210660,17160,0,1442,162,262.33,305.61
14,6,False,False,30,4,1650198900,1650222240,15240,0,1429,88,509.77,571.6
14,7,False,False,30,72,1650213900,1650231420,11640,0,838,390,627.91,698.6
9,0,False,True,23,164,1650260100,1650274440,14340,1,1919,88,450.23,498.6
6,3,False,False,7,68,1650207480,1650232440,21720,0,2030,178,366.51,417.6
15,11,False,False,56,103,1650265140,1650293940,22320,1,2599,382,268.84,312.6
6,15,False,False,33,156,1650196500,1650242100,29100,0,2671,234,545.12,614.1
2,15,False,False,27,114,1650189600,1650226380,31320,0,3111,193,675.35,748.1
2,9,False,False,30,4,1650214500,1650242520,22500,0,2171,80,384.19,435.1
13,1,False,False,7,111,1650205440,1650224040,12060,0,985,216,77.21,106.6
3,15,False,False,30,232,1650195000,1650212100,13920,0,979,121,213.95,253.6
0,4,False,False,7,43,1650193200,1650213360,16020,0,1158,330,174.88,210.1
2,5,False,False,30,4,1650220020,1650239280,11400,0,832,390,543.26,606.11
0,9,False,True,23,164,1650231780,1650249900,18120,0,1943,193,543.26,598.61
2,11,False,False,7,261,1650228300,1650246240,10140,0,719,51,174.88,210.1
13,3,False,False,7,68,1650226500,1650246300,16380,0,1449,332,213.95,253.6
2,15,False,False,56,63,1650199320,1650226200,23940,0,2300,200,730.23,807.1
9,4,False,False,30,232,1650213300,1650235560,16020,0,1582,232,262.33,305.61
13,5,False,False,7,43,1650230100,1650247260,13260,0,1097,273,155.35,189.1
6,4,False,True,20,164,1650197700,1650212400,14700,0,1380,69,310.7,348.6
15,0,False,False,7,68,1650222000,1650247980,20640,0,2193,332,322.79,370.6
13,9,False,False,30,4,1650193200,1650221280,24240,0,2519,121,322.79,370.6
6,1,False,False,21,167,1650207000,1650241440,18240,0,1582,339,204.66,249.21
13,11,False,False,7,11,1650219600,1650250860,20280,0,2076,334,171.16,207.6
2,7,False,True,46,164,1650239400,1650244500,5100,0,327,353,164.65,190.1
9,3,False,False,7,68,1650200400,1650232440,18600,0,1888,339,208.37,247.6
15,6,False,False,30,72,1650224760,1650255720,21840,1,2568,13,694.88,770.6
9,14,False,False,7,167,1650264900,1650296520,21240,1,2417,177,322.79,370.6
15,14,False,False,21,25,1650265140,1650305640,26520,1,2978,364,693.95,769.6
9,2,False,False,56,94,1650256560,1650289980,23160,1,2622,319,624.18,694.59
