startingAirport,destinationAirport,isBasicEconomy,isNonStop,AirlineCode,transferAirport,departureTime,arrivalTime,totalFlightTime,elapsedDays,totalTravelDistance,fareBasisCode,baseFare,totalFare
ATL,DFW,FALSE,FALSE,AA||AA,CLT,1650193200,1650221460,15600,0,1158,V0AHZNN1,174.88,210.1
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650218520,1650234780,13140,0,924,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650236220,1650253200,12960,0,924,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650210300,1650227820,13020,0,924,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,UA||UA,ORD,1650190200,1650212400,16800,0,1399,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650218520,1650242400,13500,0,924,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650210300,1650234780,13140,0,924,WAA0AKEN,174.88,211.6
ATL,DFW,FALSE,FALSE,AA||AA,ORD,1650220740,1650248160,17160,0,1399,V0AHZNN1,174.88,211.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650245160,1650253740,8580,0,725,KA0NA0MQ,221.4,252.61
ATL,DFW,FALSE,TRUE,AA,NONE,1650227820,1650237000,9180,0,725,L0AIZNN1,227.91,259.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650246600,1650254760,8160,0,725,QA0OX0MQ,245.58,278.6
ATL,DFW,FALSE,FALSE,UA||UA,IAH,1650193200,1650212220,13800,0,924,QAA0OKEN,274.42,318.6
ATL,DFW,FALSE,TRUE,DL,NONE,1650237900,1650246360,8460,0,725,QA0OA0MQ,292.09,328.6
ATL,DFW,FALSE,TRUE,F9,NONE,1650221280,1650230580,9300,0,725,Y00FXS5,362.22,403.99
ATL,DTW,FALSE,FALSE,AA||AA,CLT,1650198000,1650222420,11820,0,733,G0AIZNN1,174.88,210.1
ATL,DTW,FALSE,FALSE,UA||UA,ORD,1650190200,1650207420,12780,0,840,WAA0AFEN,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,ORD,1650232800,1650251220,13080,0,840,G0AIZNN1,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,MIA,1650188880,1650210600,18720,0,1749,G0AIZNN1,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,LGA,1650206400,1650229380,15180,0,1247,G0AIZNN1,174.88,211.6
ATL,DTW,FALSE,FALSE,UA||UA,ORD,1650190200,1650214560,12660,0,840,WAA0AFEN,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,DFW,1650219600,1650244920,18300,0,1720,G0AIZNN1,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,DFW,1650213060,1650244920,18180,0,1720,G0AIZNN1,174.88,211.6
ATL,DTW,FALSE,FALSE,AA||AA,LGA,1650193680,1650211380,15000,0,1247,V0AIZNN1,227.91,268.6
ATL,DTW,FALSE,FALSE,AA||AA,LGA,1650193680,1650216780,15060,0,1247,V0AIZNN1,227.91,268.6
ATL,DTW,FALSE,FALSE,UA||UA,ORD,1650232380,1650253020,12420,0,840,QAA0OFEN,255.81,298.6
